DATE,OCCUPATION,JOB VACANCIES
2019-01,"Total, all occupations",506140
2019-01,Management occupations [0],28315
2019-01,Senior management occupations [00],1185
2019-01,Legislators and senior management [001],1185
2019-01,Legislators [0011],0
2019-01,Senior government managers and officials [0012],95
2019-01,"Senior managers - financial, communications and other business services [0013]",520
2019-01,"Senior managers - health, education, social and community services and membership organizations [0014]",290
2019-01,"Senior managers - trade, broadcasting and other services, not elsewhere classified (n.e.c.) [0015]",90
2019-01,"Senior managers - construction, transportation, production and utilities [0016]",185
2019-01,Specialized middle management occupations [01-05],12950
2019-01,Administrative services managers [011],3470
2019-01,Financial managers [0111],1730
2019-01,Human resources managers [0112],1010
2019-01,Purchasing managers [0113],450
2019-01,Other administrative services managers [0114],280
2019-01,Managers in financial and business services [012],4700
2019-01,"Insurance, real estate and financial brokerage managers [0121]",725
2019-01,"Banking, credit and other investment managers [0122]",1455
2019-01,"Advertising, marketing and public relations managers [0124]",2070
2019-01,Other business services managers [0125],450
2019-01,Managers in communication (except broadcasting) [013],0
2019-01,Telecommunication carriers managers [0131],0
2019-01,Postal and courier services managers [0132],0
2019-01,"Managers in engineering, architecture, science and information systems [021]",2360
2019-01,Engineering managers [0211],580
2019-01,Architecture and science managers [0212],235
2019-01,Computer and information systems managers [0213],1540
2019-01,Managers in health care [031],485
2019-01,Managers in health care [0311],485
2019-01,Managers in public administration [041],205
2019-01,Government managers - health and social policy development and program administration [0411],30
2019-01,"Government managers - economic analysis, policy development and program administration [0412]",40
2019-01,Government managers - education policy development and program administration [0413],5
2019-01,Other managers in public administration [0414],125
2019-01,Managers in education and social and community services [042],1130
2019-01,Administrators - post-secondary education and vocational training [0421],365
2019-01,School principals and administrators of elementary and secondary education [0422],95
2019-01,"Managers in social, community and correctional services [0423]",670
2019-01,Managers in public protection services [043],70
2019-01,Commissioned police officers [0431],0
2019-01,Fire chiefs and senior firefighting officers [0432],55
2019-01,Commissioned officers of the Canadian Armed Forces [0433],0
2019-01,"Managers in art, culture, recreation and sport [051]",375
2019-01,"Library, archive, museum and art gallery managers [0511]",90
2019-01,"Managers - publishing, motion pictures, broadcasting and performing arts [0512]",100
2019-01,"Recreation, sports and fitness program and service directors [0513]",185
2019-01,Middle management occupations in retail and wholesale trade and customer services [06],8880
2019-01,Corporate sales managers [060],1240
2019-01,Corporate sales managers [0601],1240
2019-01,Retail and wholesale trade managers [062],5360
